filename, language, JavaScript, JSON, Properties, Groovy, Batch, Objective-C, C++, XML, Java, comment, blank, total
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/cart/CartStyles.js, JavaScript, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/categories/Categories.js, JavaScript, 73, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 96
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/checkout/Checkout.js, JavaScript, 651, 0, 0, 0, 0, 0, 0, 0, 0, 10, 144, 805
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/checkout/CheckoutStyles.js, JavaScript, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 119
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/checkoutStatus/CheckoutSuccess.js, JavaScript, 91, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 120
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/checkoutStatus/CheckoutSuccessStyles.js, JavaScript, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 82
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/home/Home.js, JavaScript, 101, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 127
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/home/HomeStyles.js, JavaScript, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 60
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/loader/Loader.js, JavaScript, 119, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 143
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/loader/LoaderStyles.js, JavaScript, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/login/Login.js, JavaScript, 154, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24, 185
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/login/LoginStyles.js, JavaScript, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/navigation/Navigation.js, JavaScript, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 304
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/orders/Orders.js, JavaScript, 99, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 122
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/products/Product.js, JavaScript, 531, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59, 597
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/products/ProductStyles.js, JavaScript, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 168
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/products/Products.js, JavaScript, 94, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 115
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/register/Register.js, JavaScript, 170, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34, 211
/Users/rasheenruwisha/final-year-proj/mobilestore/layout/register/RegisterStyles.js, JavaScript, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
/Users/rasheenruwisha/final-year-proj/mobilestore/metro.config.js, JavaScript, 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
/Users/rasheenruwisha/final-year-proj/mobilestore/package-lock.json, JSON, 0, 9447, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9448
/Users/rasheenruwisha/final-year-proj/mobilestore/package.json, JSON, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
/Users/rasheenruwisha/final-year-proj/mobilestore/properties.js, JavaScript, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
/Users/rasheenruwisha/final-year-proj/mobilestore/reducers/authReducer.js, JavaScript, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 73
/Users/rasheenruwisha/final-year-proj/mobilestore/reducers/businessReducer.js, JavaScript, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
/Users/rasheenruwisha/final-year-proj/mobilestore/reducers/cartReducer.js, JavaScript, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 95
/Users/rasheenruwisha/final-year-proj/mobilestore/reducers/categoryReducer.js, JavaScript, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
/Users/rasheenruwisha/final-year-proj/mobilestore/reducers/errorReducer.js, JavaScript, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
/Users/rasheenruwisha/final-year-proj/mobilestore/reducers/index.js, JavaScript, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
/Users/rasheenruwisha/final-year-proj/mobilestore/reducers/orderReducer.js, JavaScript, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
/Users/rasheenruwisha/final-year-proj/mobilestore/reducers/productReducer.js, JavaScript, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
/Users/rasheenruwisha/final-year-proj/mobilestore/store/index.js, JavaScript, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
/Users/rasheenruwisha/final-year-proj/mobilestore/themes.js, JavaScript, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
Total, -, 4084, 9570, 8, 116, 76, 86, 5, 79, 65, 278, 722, 15089
